millis,Pressure,Pitch,Roll,DrawWire,Rot.Pos,LinMassPos,yaw,
649206,138,-4.41,-3.93,303,417,543,348.65, 
1.51,,,,,,,,
649338,138,-4.41,-3.93,303,400,543,348.66, 
1.51,,,,,,,,
649364,138,-4.41,-3.93,303,390,543,348.66, 
1.51,,,,,,,,
649446,138,-4.41,-3.93,303,378,543,348.67, 
1.51,,,,,,,,
649462,138,-4.41,-3.93,303,370,543,348.67, 
1.51,,,,,,,,
649480,138,-4.41,-3.93,303,362,543,348.68, 
1.51,,,,,,,,
649505,138,-4.41,-3.93,303,356,543,348.68, 
1.51,,,,,,,,
649522,138,-4.41,-3.93,303,349,543,348.68, 
1.51,,,,,,,,
649538,138,-4.41,-3.93,303,344,543,348.68, 
1.51,,,,,,,,
649554,138,-4.41,-3.93,303,340,543,348.68, 
1.51,,,,,,,,
649581,138,-4.41,-3.93,303,335,543,348.7, 
1.51,,,,,,,,
649597,138,-4.41,-3.93,303,331,543,348.7, 
1.51,,,,,,,,
649614,138,-4.41,-3.93,303,328,543,348.7, 
1.51,,,,,,,,
649639,138,-4.41,-3.93,303,325,543,348.7, 
1.51,,,,,,,,
649656,138,-4.41,-3.93,303,321,543,348.7, 
1.51,,,,,,,,
649673,138,-4.39,-3.93,303,320,543,348.71, 
1.51,,,,,,,,
649690,138,-4.39,-3.93,303,319,543,348.71, 
1.51,,,,,,,,
649715,138,-4.39,-3.93,303,317,543,348.71, 
1.51,,,,,,,,
649762,138,-4.39,-3.93,303,317,543,348.71, 
1.51,,,,,,,,
649788,138,-4.41,-3.93,303,315,543,348.72, 
1.51,,,,,,,,
649814,138,-4.41,-3.93,303,313,543,348.72, 
1.51,,,,,,,,
649830,138,-4.41,-3.93,303,312,543,348.72, 
1.51,,,,,,,,
649846,138,-4.41,-3.93,303,308,543,348.72, 
1.51,,,,,,,,
649874,138,-4.39,-3.93,303,311,543,348.73, 
1.51,,,,,,,,
649889,138,-4.39,-3.93,303,310,543,348.73, 
1.51,,,,,,,,
649906,138,-4.39,-3.93,303,309,543,348.73, 
1.51,,,,,,,,
649921,138,-4.39,-3.93,303,308,543,348.73, 
1.51,,,,,,,,
649947,138,-4.39,-3.93,303,305,543,348.73, 
1.51,,,,,,,,
649963,138,-4.39,-3.93,303,307,543,348.73, 
1.51,,,,,,,,
649979,138,-4.39,-3.93,303,306,543,348.74, 
1.51,,,,,,,,
650005,138,-4.39,-3.93,303,306,543,348.74, 
1.51,,,,,,,,
650021,138,-4.39,-3.93,303,305,543,348.74, 
1.51,,,,,,,,
650038,138,-4.39,-3.93,303,305,543,348.74, 
1.51,,,,,,,,
650054,138,-4.39,-3.93,303,305,543,348.74, 
1.51,,,,,,,,
650081,138,-4.41,-3.93,303,304,543,348.74, 
1.51,,,,,,,,
650097,138,-4.41,-3.93,303,304,543,348.74, 
1.51,,,,,,,,
650114,138,-4.41,-3.93,303,304,543,348.74, 
1.51,,,,,,,,
650140,138,-4.41,-3.93,303,304,543,348.74, 
1.51,,,,,,,,
650157,138,-4.41,-3.93,303,300,543,348.74, 
1.51,,,,,,,,
650174,138,-4.41,-3.93,303,304,543,348.76, 
1.51,,,,,,,,
650200,138,-4.41,-3.93,303,304,543,348.76, 
1.51,,,,,,,,
650216,138,-4.41,-3.93,303,303,543,348.76, 
1.51,,,,,,,,
650260,138,-4.41,-3.93,303,305,543,348.76, 
1.51,,,,,,,,
650286,138,-4.41,-3.93,303,305,543,348.77, 
1.51,,,,,,,,
650312,138,-4.41,-3.93,303,304,543,348.77, 
1.51,,,,,,,,
650329,138,-4.41,-3.93,303,303,543,348.77, 
1.51,,,,,,,,
650345,138,-4.41,-3.93,303,300,543,348.77, 
1.51,,,,,,,,
650372,138,-4.41,-3.93,303,304,543,348.78, 
1.51,,,,,,,,
650388,138,-4.41,-3.93,303,303,543,348.78, 
1.51,,,,,,,,
650404,138,-4.41,-3.93,303,303,543,348.78, 
1.51,,,,,,,,
650430,138,-4.41,-3.93,303,303,543,348.78, 
1.51,,,,,,,,
650446,138,-4.41,-3.93,303,303,543,348.78, 
1.51,,,,,,,,
650463,138,-4.41,-3.93,303,303,543,348.78, 
1.51,,,,,,,,
650480,138,-4.41,-3.93,303,303,543,348.79, 
1.51,,,,,,,,
650513,138,-4.41,-3.93,303,303,543,348.79, 
1.51,,,,,,,,
650529,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650546,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650572,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650589,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650605,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650631,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650647,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650664,138,-4.41,-3.93,303,302,543,348.79, 
1.51,,,,,,,,
650681,138,-4.41,-3.93,303,302,543,348.8, 
1.51,,,,,,,,
650706,138,-4.41,-3.93,303,302,543,348.8, 
1.51,,,,,,,,
650723,138,-4.41,-3.93,303,301,543,348.8, 
1.51,,,,,,,,
650768,138,-4.41,-3.93,303,303,543,348.8, 
1.51,,,,,,,,
650803,138,-4.41,-3.93,303,303,543,348.83, 
1.51,,,,,,,,
650819,138,-4.41,-3.93,303,303,543,348.83, 
1.51,,,,,,,,
650835,138,-4.41,-3.93,303,302,543,348.83, 
1.51,,,,,,,,
650852,138,-4.41,-3.93,303,301,543,348.83, 
1.51,,,,,,,,
650878,138,-4.42,-3.93,303,303,543,348.84, 
1.51,,,,,,,,
650895,138,-4.42,-3.93,303,302,543,348.84, 
1.51,,,,,,,,
650911,138,-4.42,-3.93,303,302,543,348.84, 
1.51,,,,,,,,
650937,138,-4.42,-3.93,303,302,543,348.84, 
1.51,,,,,,,,
650953,138,-4.42,-3.93,303,298,543,348.84, 
1.51,,,,,,,,
650971,138,-4.42,-3.93,303,302,543,348.85, 
1.51,,,,,,,,
650997,138,-4.42,-3.93,303,302,543,348.85, 
1.51,,,,,,,,
651014,138,-4.42,-3.93,303,302,543,348.85, 
1.51,,,,,,,,
651030,138,-4.42,-3.93,303,302,543,348.85, 
1.51,,,,,,,,
651046,138,-4.42,-3.93,303,297,543,348.85, 
1.51,,,,,,,,
651073,138,-4.42,-3.93,303,303,543,348.86, 
1.51,,,,,,,,
651088,138,-4.42,-3.93,303,302,543,348.86, 
1.51,,,,,,,,
651105,138,-4.42,-3.93,303,303,543,348.86, 
1.51,,,,,,,,
651130,138,-4.42,-3.93,303,302,543,348.86, 
1.51,,,,,,,,
651146,138,-4.42,-3.93,303,302,543,348.86, 
1.51,,,,,,,,
651162,138,-4.42,-3.93,303,300,543,348.86, 
1.51,,,,,,,,
651188,138,-4.41,-3.93,303,302,543,348.87, 
1.51,,,,,,,,
651204,138,-4.41,-3.93,303,302,543,348.87, 
1.51,,,,,,,,
651220,138,-4.41,-3.93,303,302,543,348.87, 
1.51,,,,,,,,
651237,138,-4.41,-3.93,303,302,543,348.87, 
1.51,,,,,,,,
651291,138,-4.41,-3.94,303,304,543,348.88, 
1.51,,,,,,,,
651316,138,-4.41,-3.94,303,303,543,348.88, 
1.51,,,,,,,,
651332,138,-4.41,-3.94,303,302,543,348.88, 
1.51,,,,,,,,
651358,138,-4.41,-3.94,303,302,543,348.88, 
1.51,,,,,,,,
651374,138,-4.41,-3.94,303,303,543,348.89, 
1.51,,,,,,,,
651390,138,-4.41,-3.94,303,303,543,348.89, 
1.51,,,,,,,,
651407,138,-4.41,-3.94,303,303,543,348.89, 
1.51,,,,,,,,
651432,138,-4.41,-3.94,303,303,543,348.89, 
1.51,,,,,,,,
651450,138,-4.41,-3.94,303,302,543,348.89, 
1.51,,,,,,,,
651466,138,-4.41,-3.94,303,302,543,348.89, 
1.51,,,,,,,,
651493,138,-4.41,-3.94,303,302,543,348.9, 
1.51,,,,,,,,
651509,138,-4.41,-3.94,303,302,543,348.9, 
1.51,,,,,,,,
651526,138,-4.41,-3.94,303,302,543,348.9, 
1.51,,,,,,,,
651551,138,-4.41,-3.94,303,300,543,348.9, 
1.51,,,,,,,,
651568,138,-4.41,-3.94,303,302,543,348.9, 
1.51,,,,,,,,
651584,138,-4.41,-3.96,303,302,543,348.91, 
1.51,,,,,,,,
651600,138,-4.41,-3.96,303,302,543,348.91, 
1.51,,,,,,,,
651629,138,-4.41,-3.96,303,302,543,348.91, 
1.51,,,,,,,,
651645,138,-4.41,-3.96,303,302,543,348.91, 
1.51,,,,,,,,
651663,138,-4.41,-3.96,303,297,543,348.91, 
1.51,,,,,,,,
651689,138,-4.39,-3.96,303,302,543,348.93, 
1.51,,,,,,,,
651706,138,-4.39,-3.96,303,302,543,348.93, 
1.51,,,,,,,,
651721,138,-4.39,-3.96,303,301,543,348.93, 
1.51,,,,,,,,
651748,138,-4.39,-3.96,303,302,543,348.93, 
1.51,,,,,,,,
651792,138,-4.39,-3.96,303,303,543,348.95, 
1.51,,,,,,,,
651817,138,-4.39,-3.96,303,303,543,348.95, 
1.51,,,,,,,,
651834,138,-4.39,-3.96,303,302,543,348.95, 
1.51,,,,,,,,
651859,138,-4.39,-3.96,303,300,543,348.95, 
1.51,,,,,,,,
651876,138,-4.39,-3.96,303,302,543,348.95, 
1.51,,,,,,,,
651892,138,-4.39,-3.96,303,302,543,348.95, 
1.51,,,,,,,,
651918,138,-4.39,-3.96,303,302,543,348.95, 
1.51,,,,,,,,
651933,138,-4.39,-3.96,303,302,543,348.95, 
1.51,,,,,,,,
651950,138,-4.39,-3.96,303,301,543,348.95, 
1.51,,,,,,,,
651966,138,-4.39,-3.96,303,302,543,348.95, 
1.51,,,,,,,,
651992,138,-4.39,-3.94,303,301,543,348.96, 
1.51,,,,,,,,
652008,138,-4.39,-3.94,303,301,543,348.96, 
1.51,,,,,,,,
652024,138,-4.39,-3.94,303,301,543,348.96, 
1.51,,,,,,,,
652050,138,-4.39,-3.94,303,302,543,348.96, 
1.51,,,,,,,,
652067,138,-4.39,-3.94,303,301,543,348.96, 
1.51,,,,,,,,
652084,138,-4.41,-3.94,303,301,543,348.97, 
1.51,,,,,,,,
652109,138,-4.41,-3.94,303,302,543,348.97, 
1.51,,,,,,,,
652126,138,-4.41,-3.94,303,302,543,348.97, 
1.51,,,,,,,,
652142,138,-4.41,-3.94,303,302,543,348.97, 
1.51,,,,,,,,
652158,138,-4.41,-3.94,303,302,543,348.97, 
1.51,,,,,,,,
652186,138,-4.41,-3.94,303,301,543,348.98, 
1.51,,,,,,,,
652203,138,-4.41,-3.94,303,301,543,348.98, 
1.51,,,,,,,,
652219,138,-4.41,-3.94,303,301,543,348.98, 
1.51,,,,,,,,
652244,138,-4.41,-3.94,303,302,543,348.98, 
1.51,,,,,,,,
652261,138,-4.41,-3.94,303,300,543,348.98, 
1.51,,,,,,,,
652306,138,-4.41,-3.94,303,302,543,348.99, 
1.51,,,,,,,,
652340,138,-4.41,-3.94,303,303,543,348.99, 
1.51,,,,,,,,
652356,138,-4.41,-3.94,303,299,543,348.99, 
1.51,,,,,,,,
652374,138,-4.41,-3.94,303,302,543,348.99, 
1.51,,,,,,,,
652390,138,-4.41,-3.94,303,302,543,349, 
1.51,,,,,,,,
652416,138,-4.41,-3.94,303,302,543,349, 
1.51,,,,,,,,
652432,138,-4.41,-3.94,303,302,543,349, 
1.51,,,,,,,,
652448,138,-4.41,-3.94,303,302,543,349, 
1.51,,,,,,,,
652476,138,-4.41,-3.94,303,302,543,349.02, 
1.51,,,,,,,,
652492,138,-4.41,-3.94,303,301,543,349.02, 
1.51,,,,,,,,
652509,138,-4.41,-3.94,303,302,543,349.02, 
1.51,,,,,,,,
652534,138,-4.41,-3.94,303,302,543,349.02, 
1.51,,,,,,,,
652551,138,-4.41,-3.94,303,302,543,349.02, 
1.51,,,,,,,,
652567,138,-4.41,-3.94,303,297,543,349.02, 
1.51,,,,,,,,
652584,138,-4.41,-3.94,303,303,543,349.04, 
1.51,,,,,,,,
652618,138,-4.41,-3.94,303,302,543,349.04, 
1.51,,,,,,,,
652635,138,-4.41,-3.94,303,302,543,349.04, 
1.51,,,,,,,,
652652,138,-4.41,-3.94,303,302,543,349.04, 
1.51,,,,,,,,
652686,138,-4.39,-3.94,303,303,543,349.05, 
1.51,,,,,,,,
652702,138,-4.39,-3.94,303,302,543,349.05, 
1.51,,,,,,,,
652719,138,-4.39,-3.94,303,302,543,349.05, 
1.51,,,,,,,,
652748,138,-4.39,-3.94,303,302,543,349.05, 
1.51,,,,,,,,
652765,138,-4.39,-3.94,303,297,543,349.05, 
1.51,,,,,,,,
652811,138,-4.39,-3.94,303,304,543,349.06, 
1.51,,,,,,,,
652835,138,-4.39,-3.94,303,304,543,349.06, 
1.51,,,,,,,,
652861,138,-4.39,-3.94,303,300,543,349.06, 
1.51,,,,,,,,
652878,138,-4.39,-3.94,303,303,543,349.07, 
1.51,,,,,,,,
652895,139,-4.39,-3.94,303,303,543,349.07, 
1.51,,,,,,,,
652920,138,-4.39,-3.94,303,303,543,349.07, 
1.51,,,,,,,,
652937,138,-4.39,-3.94,303,302,543,349.07, 
1.51,,,,,,,,
652953,138,-4.39,-3.94,303,302,543,349.07, 
1.51,,,,,,,,
652969,138,-4.39,-3.94,303,303,543,349.07, 
1.51,,,,,,,,
652996,138,-4.39,-3.94,303,302,543,349.08, 
1.51,,,,,,,,
653012,138,-4.39,-3.94,303,302,543,349.08, 
1.51,,,,,,,,
653029,138,-4.39,-3.94,303,302,543,349.08, 
1.51,,,,,,,,
653054,138,-4.39,-3.94,303,302,543,349.08, 
1.51,,,,,,,,
653072,138,-4.39,-3.94,303,302,543,349.08, 
1.51,,,,,,,,
653088,138,-4.39,-3.94,303,302,543,349.09, 
1.51,,,,,,,,
653114,138,-4.39,-3.94,303,302,543,349.09, 
1.51,,,,,,,,
653129,138,-4.39,-3.94,303,302,543,349.09, 
1.51,,,,,,,,
653146,138,-4.39,-3.94,303,302,543,349.09, 
1.51,,,,,,,,
653161,138,-4.39,-3.94,303,302,543,349.09, 
1.51,,,,,,,,
653188,138,-4.41,-3.96,303,302,543,349.1, 
1.51,,,,,,,,
653204,138,-4.41,-3.96,303,301,543,349.1, 
1.51,,,,,,,,
653219,138,-4.41,-3.96,303,301,543,349.1, 
1.51,,,,,,,,
653245,138,-4.41,-3.96,303,302,543,349.1, 
1.51,,,,,,,,
653261,138,-4.41,-3.96,303,298,543,349.1, 
1.51,,,,,,,,
653278,138,-4.41,-3.96,303,302,543,349.11, 
1.51,,,,,,,,
653322,138,-4.41,-3.96,303,304,543,349.11, 
1.51,,,,,,,,
653357,138,-4.41,-3.96,303,301,543,349.11, 
1.51,,,,,,,,
653373,138,-4.41,-3.96,303,303,543,349.11, 
1.51,,,,,,,,
653390,138,-4.41,-3.96,303,303,543,349.12, 
1.51,,,,,,,,
653416,138,-4.41,-3.96,303,302,543,349.12, 
1.51,,,,,,,,
653431,138,-4.41,-3.96,303,302,543,349.12, 
1.51,,,,,,,,
653448,138,-4.41,-3.96,303,302,543,349.12, 
1.51,,,,,,,,
653473,138,-4.41,-3.96,303,302,543,349.12, 
1.51,,,,,,,,
653490,138,-4.41,-3.96,303,302,543,349.13, 
1.51,,,,,,,,
653506,138,-4.41,-3.96,303,302,543,349.13, 
1.51,,,,,,,,
653522,138,-4.41,-3.96,303,302,543,349.13, 
1.51,,,,,,,,
653547,138,-4.41,-3.96,303,302,543,349.13, 
1.51,,,,,,,,
653563,138,-4.41,-3.96,303,299,543,349.13, 
1.51,,,,,,,,
653581,138,-4.41,-3.96,303,302,543,349.15, 
1.51,,,,,,,,
653605,138,-4.41,-3.96,303,302,543,349.15, 
1.51,,,,,,,,
653622,138,-4.41,-3.96,303,301,543,349.15, 
1.51,,,,,,,,
653637,138,-4.41,-3.96,303,302,543,349.15, 
1.51,,,,,,,,
653663,138,-4.41,-3.96,303,298,543,349.15, 
1.51,,,,,,,,
653680,138,-4.41,-3.96,303,302,543,349.16, 
1.51,,,,,,,,
653697,138,-4.41,-3.96,303,301,543,349.16, 
1.51,,,,,,,,
653713,138,-4.41,-3.96,303,302,543,349.16, 
1.51,,,,,,,,
653739,138,-4.41,-3.96,303,302,543,349.16, 
1.51,,,,,,,,
653755,138,-4.41,-3.96,303,301,543,349.16, 
1.51,,,,,,,,
653771,138,-4.41,-3.96,303,302,543,349.16, 
1.51,,,,,,,,
653830,138,-4.41,-3.94,303,303,543,349.17, 
1.51,,,,,,,,
653854,138,-4.41,-3.94,303,303,543,349.17, 
1.51,,,,,,,,
653871,138,-4.41,-3.94,303,299,543,349.17, 
1.51,,,,,,,,
653887,138,-4.41,-3.94,303,304,543,349.18, 
1.51,,,,,,,,
653941,138,-4.41,-3.94,303,303,543,349.18, 
1.51,,,,,,,,
653958,138,-4.41,-3.94,303,302,543,349.18, 
1.51,,,,,,,,
653974,138,-4.41,-3.94,303,304,543,349.18, 
1.51,,,,,,,,
654001,138,-4.41,-3.94,303,303,543,349.19, 
1.51,,,,,,,,
654017,138,-4.41,-3.94,303,302,543,349.19, 
1.51,,,,,,,,
654033,138,-4.41,-3.94,303,302,543,349.19, 
1.51,,,,,,,,
654059,138,-4.41,-3.94,303,298,543,349.19, 
1.51,,,,,,,,
654076,138,-4.41,-3.94,303,303,543,349.19, 
1.51,,,,,,,,
654094,138,-4.41,-3.94,303,302,543,349.2, 
1.51,,,,,,,,
654110,138,-4.41,-3.94,303,302,543,349.2, 
1.51,,,,,,,,
654136,138,-4.41,-3.94,303,302,543,349.2, 
1.51,,,,,,,,
654152,138,-4.41,-3.94,303,302,543,349.2, 
1.51,,,,,,,,
654169,138,-4.41,-3.94,303,302,543,349.2, 
1.55,,,,,,,,
654195,139,-4.41,-3.94,303,302,543,349.21, 
1.51,,,,,,,,
654212,138,-4.41,-3.94,303,302,543,349.21, 
1.51,,,,,,,,
654228,138,-4.41,-3.94,303,301,543,349.21, 
1.51,,,,,,,,
654254,139,-4.41,-3.94,303,302,543,349.21, 
1.51,,,,,,,,
654270,138,-4.41,-3.94,303,299,543,349.21, 
1.51,,,,,,,,
654287,138,-4.41,-3.94,303,302,543,349.22, 
1.51,,,,,,,,
654331,138,-4.41,-3.94,303,304,543,349.22, 
1.51,,,,,,,,
654366,138,-4.41,-3.94,303,300,543,349.22, 
1.51,,,,,,,,
654384,138,-4.41,-3.94,303,304,543,349.23, 
1.51,,,,,,,,
654399,138,-4.41,-3.94,303,303,543,349.23, 
1.51,,,,,,,,
654425,138,-4.41,-3.94,303,303,543,349.23, 
1.51,,,,,,,,
654440,138,-4.41,-3.94,303,302,543,349.23, 
1.51,,,,,,,,
654456,138,-4.41,-3.94,303,302,543,349.23, 
1.51,,,,,,,,
654483,138,-4.41,-3.94,303,302,543,349.24, 
1.51,,,,,,,,
654498,138,-4.41,-3.94,303,302,543,349.24, 
1.51,,,,,,,,
654515,138,-4.41,-3.94,303,302,543,349.24, 
1.51,,,,,,,,
654530,138,-4.41,-3.94,303,302,543,349.24, 
1.51,,,,,,,,
654556,138,-4.41,-3.94,303,302,543,349.24, 
1.51,,,,,,,,
654572,138,-4.41,-3.94,303,298,543,349.24, 
1.51,,,,,,,,
654588,138,-4.42,-3.94,303,302,543,349.26, 
1.51,,,,,,,,
654614,138,-4.42,-3.94,303,302,543,349.26, 
1.51,,,,,,,,
654630,138,-4.42,-3.94,303,301,543,349.26, 
1.51,,,,,,,,
654647,138,-4.42,-3.94,303,302,543,349.26, 
1.51,,,,,,,,
654663,138,-4.42,-3.94,303,299,543,349.26, 
1.51,,,,,,,,
654690,138,-4.41,-3.94,303,302,543,349.27, 
1.51,,,,,,,,
654706,138,-4.41,-3.94,303,302,543,349.27, 
1.51,,,,,,,,
654723,138,-4.41,-3.94,303,302,543,349.27, 
1.51,,,,,,,,
654749,138,-4.41,-3.94,303,302,543,349.27, 
1.51,,,,,,,,
654766,138,-4.41,-3.94,303,298,543,349.27, 
1.51,,,,,,,,
654783,138,-4.41,-3.94,303,302,543,349.28, 
1.51,,,,,,,,
654836,138,-4.41,-3.94,303,304,543,349.28, 
1.51,,,,,,,,
654861,138,-4.41,-3.94,303,302,543,349.28, 
1.51,,,,,,,,
654878,138,-4.41,-3.94,303,303,543,349.28, 
1.51,,,,,,,,
654895,138,-4.41,-3.93,303,304,543,349.29, 
1.51,,,,,,,,
654921,138,-4.41,-3.93,303,303,543,349.29, 
1.51,,,,,,,,
654938,138,-4.41,-3.93,303,303,543,349.29, 
1.51,,,,,,,,
654954,138,-4.41,-3.93,303,300,543,349.29, 
1.51,,,,,,,,
654981,138,-4.41,-3.93,303,303,543,349.29, 
1.51,,,,,,,,
654997,138,-4.41,-3.93,303,303,543,349.3, 
1.51,,,,,,,,
655013,138,-4.41,-3.93,303,302,543,349.3, 
1.51,,,,,,,,
655042,138,-4.41,-3.93,303,303,543,349.3, 
1.51,,,,,,,,
655058,138,-4.41,-3.93,303,302,543,349.3, 
1.51,,,,,,,,
655075,138,-4.41,-3.93,303,299,543,349.3, 
1.51,,,,,,,,
655092,138,-4.41,-3.94,303,302,543,349.31, 
1.51,,,,,,,,
655118,138,-4.41,-3.94,303,302,543,349.31, 
